gene,top_cluster,glm_coef,pearson,max_gg_corr,max_gc_corr,cell_type
MYBPC1,c1,0.551202548344099,0.152950823976268,0.869079998563267,0.243782776642046,Tumor
MYH11,c4,2.47224963582956,0.642004503365871,0.760738299125166,0.642004503365871,Myoepithelial
MYLK,c4,5.89754149653129,0.831696552792914,0.873725636796155,0.831696552792914,Myoepithelial
MYO5B,c1,1.81246507944453,0.919588527693033,0.953548991098135,0.919588527693033,Tumor
MZB1,c6,1.57289216062747,0.223168482764059,0.75622507474896,0.378430797499953,B_Cells
NARS,c1,3.07100659404704,0.912739600642262,0.972435095050389,0.912739600642262,Tumor
NCAM1,NoSig,0.0,0.0,0.492270697281735,0.396556820758503,
NDUFA4L2,NoSig,0.0,0.0,0.555046601492039,0.179540117285105,
NKG7,c5,0.257316840692152,0.847996565949593,0.887158532233941,0.847996565949593,T_Cells
NOSTRIN,c7,0.752865607032082,0.524188000696339,0.609190003130978,0.524188000696339,Endothelial
OCIAD2,c1,0.489158446053796,0.842349129367225,0.940539602255226,0.842349129367225,Tumor
OPRPN,c4,0.683296640647388,0.404793091618647,0.584354118228341,0.404793091618647,Myoepithelial
OXTR,c4,0.369423946755315,0.50233847815332,0.633734912247252,0.50233847815332,Myoepithelial
PCLAF,c1,0.936899995183646,0.834358998742953,0.947759125188007,0.834358998742953,Tumor
PDCD1,NoSig,0.0,0.0,0.683123869880313,0.648285502237513,
PDCD1LG2,c3,0.248101222643579,0.765511391099527,0.860265385070782,0.765511391099527,Macrophages
PDE4A,c2,0.317235203497567,0.687330385101896,0.798406723894646,0.687330385101896,Stromal
PDGFRA,c2,2.18159536047365,0.812699484373554,0.874191379960815,0.812699484373554,Stromal
PDGFRB,c2,2.55670033030302,0.809252408781706,0.877913901946981,0.809252408781706,Stromal
PDK4,c2,1.03092649796375,0.631080722607021,0.725437498205319,0.680829945509013,Stromal
PECAM1,c7,4.91747972664128,0.755747610546213,0.90966347370299,0.755747610546213,Endothelial
PELI1,c1,0.245125704289778,0.562444486064812,0.829203787946473,0.562444486064812,Tumor
PGR,c4,0.332070766045305,0.351669382277249,0.55751021060797,0.351669382277249,Myoepithelial
PIGR,c4,0.803937324484388,0.503874626292686,0.705920754852154,0.503874626292686,Myoepithelial
PIM1,c2,0.435674470275844,0.620121026949382,0.84598722689217,0.620121026949382,Stromal
PLD4,c8,0.826413547242221,0.776436080460886,0.843328839346717,0.776436080460886,Dendritic
POSTN,c2,15.7967446458044,0.798551442388682,0.892434651041087,0.798551442388682,Stromal
PPARG,NoSig,0.0,0.0,0.687116762906229,0.479352931315553,
PRDM1,c2,0.981866139406044,0.717237817492167,0.870725566653862,0.717237817492167,Stromal
PRF1,NoSig,0.0,0.0,0.890089845262096,0.847786663438135,
PTGDS,c2,2.80620352150168,0.516805380572958,0.721495168960083,0.594171317986485,Stromal
PTN,c4,3.85597523640171,0.775217075514052,0.824206262175171,0.775217075514052,Myoepithelial
PTPRC,c5,3.26447630613056,0.928356771380256,0.97899617239439,0.928356771380256,T_Cells
PTRHD1,c1,0.437856606669503,0.828060945883213,0.946577227089993,0.828060945883213,Tumor
QARS,c1,1.15679126384922,0.832618920784168,0.971303669435285,0.832618920784168,Tumor
RAB30,c2,0.361047536154209,0.562472091604219,0.853380951627001,0.562472091604219,Stromal
RAMP2,c7,1.52066967917776,0.697755269253428,0.887619675104618,0.697755269253428,Endothelial
RAPGEF3,c7,0.653332473097672,0.551987529102106,0.736798290827167,0.551987529102106,Endothelial
RHOH,c1,0.788198100600349,0.795828916218047,0.935122827264558,0.795828916218047,Tumor
RORC,NoSig,0.0,0.0,0.780838626151541,0.649121443496092,
RTKN2,c1,0.448082904369436,0.775076543881537,0.902279770119687,0.775076543881537,Tumor
RUNX1,c1,1.41762631631362,0.485008049938479,0.832481370142234,0.492596083785694,Tumor
